latitude,longitude,significant_hit_count,geo_location_name,environment_biome
-10.816,139.961,8,Australia:Arafura Sea,
-10.807,144.121,3,Australia:Coral Sea,
-10.806,138.434,3,Australia:Arafura Sea,
-10.801,140.27,17,Australia:Arafura Sea,
-10.794,132.364,2,Australia:Arafura Sea,
-10.752,53.21,1,,
-10.746,138.775,4,Australia:Arafura Sea,
-10.652,95,1,,
-10.597,132.93,2,Australia:Arafura Sea,
-10.542,143.984,7,Australia:Coral Sea,
-10.513,52.923,1,,
-10.48,-24.546,0,,
-10.459,88.306,0,,
-10.146,-135.465,0,,
-9.98,-55.26,0,Brazil,Amazon
-9.89,-103.156,0,,
-9.858,52.146,0,,
-9.82,-150.82,1,,
-9.816,95,0,,
-9.76,150.88,65,,
-9.642,51.883,0,,
-9.611,84.212,0,,
-9.576,-131.5,0,,
-9.392,66.423,0,,marine biome (ENVO:00000447)
-9.259,51.429,0,,
-9.161,-28.001,0,,ocean_biome
-9.15,-140.522,65,,marine biome (ENVO:00000447)
-9.121,51.617,0,,
-9.12,-104.24,0,,
-9.071,-140.597,617,,marine biome (ENVO:00000447)
-9.051,-25.909,0,,
-9.035,-127.776,0,,
-9.006,-139.139,149,,marine biome (ENVO:00000447)
-8.997,-139.196,3,,marine biome (ENVO:00000447)
-8.993,95,0,,
-8.973,-139.239,890,,marine biome (ENVO:00000447)
-8.912,51.899,0,,
-8.911,-142.557,21,,marine biome (ENVO:00000447)
-8.911,-140.284,1174,,marine biome (ENVO:00000447)
-8.907,-140.283,9,,marine biome (ENVO:00000447)
-8.9,-142.546,326,,marine biome (ENVO:00000447)
-8.799,-17.903,576,,marine biome (ENVO:00000447)
-8.779,-17.91,5,,marine biome (ENVO:00000447)
-8.734,52.145,1,,
-8.73,-17.96,107,,marine biome (ENVO:00000447)
-8.73,95,1,,
-8.51,80.384,0,,
-8.456,52.478,0,,
-8.43,-124.246,0,,ocean biome
-8.375,52.626,0,,
-8.199,52.86,0,,
-8.198,52.862,0,,
-8.109,53.074,4,,
-7.758,53.463,0,,
-7.672,-120.405,0,,
-7.549,-24.959,0,,
-7.517,53.629,1,,
-7.135,95,0,,
-7.115,-116.121,0,,
-7.06,-107.12,0,,
-7.015,76.347,0,,
-7,95,1,,
-6.599,95,0,,
-6.552,54.29,2,,
-6.37,95,0,,
-6.317,39.55,0,,
-6.215,54.525,2,,
-6.117,39.117,0,,
-6.082,54.629,0,,
-6.068,95,0,,
-5.943,-108.691,0,,
-5.667,-28.457,5,,ocean_biome
-5.588,54.958,1,,
-5.529,95,0,,
-5.267,-85.273,14,,marine biome (ENVO:00000447)
-5.261,-85.168,155,,marine biome (ENVO:00000447)
-5.253,-85.154,0,,marine biome (ENVO:00000447)
-4.998,64.987,1,,
-4.985,-24.973,0,,
-4.676,60.53,0,,
-4.637,56.839,0,,
-4.627,55.518,2,,
-4.514,-105.073,0,,
-4.296,-18.896,0,,
-4.219,-49.703,0,Brazil,Amazon
-4,-110,0,,
-3.931,-49.626,0,Brazil,River
-3.879,94.652,0,,
-3.832,-49.647,3,,
-3.712,55.461,0,,
-3.706,55.468,0,,
-3.689,-24.98,0,,
-3.616,94.569,0,,
-3.362,94.494,1,,
-3.353,-101.381,0,,
-3.237,56,0,,
-3.001,-110,0,,
-3,-149.67,0,,
-2.998,56.193,0,,
-2.996,56.194,0,,
-2.918,94.359,0,,
-2.833,94.333,1,,
-2.811,56.352,0,,
-2.741,56.428,0,,
-2.65,-28.917,29,,ocean_biome
-2.597,-97.876,0,,
-2.391,-21.277,0,,
-2.291,56.787,0,,
-2.265,56.816,0,,
-2.024,94.07,1,,
-2.013,-84.589,5,,marine biome (ENVO:00000447)
-2.001,-150,0,,
-1.999,-109.999,0,,
-1.981,-95.03,0,,
-1.9,-84.626,3,,marine biome (ENVO:00000447)
-1.89,-84.614,88,,marine biome (ENVO:00000447)
-1.769,57.223,1,,
-1.746,93.984,0,,
-1.24,-90.442,0,,
-1.232,-90.429,0,,
-1.231,57.253,1,,
-1.221,-90.323,0,,
-1.15,-24.982,2,,
-1.112,93.787,0,,
-0.999,-150.35,2,,
-0.933,93.733,0,,
-0.865,57.244,5,,
-0.662,73.161,0,,marine biome (ENVO:00000447)
-0.63,93.648,1,,
-0.605,-91.072,0,,
-0.435,93.588,2,,
-0.4,-90.293,0,,
-0.387,-23.636,0,,
-0.319,-91.653,0,,
-0.316,93.552,1,,
-0.203,-90.837,0,,
-0.192,-32.874,33,,ocean_biome
-0.12,93.483,0,,
-0.082,57.27,0,,
-0.025,-91.212,0,,
-0.001,57.269,0,,
0,-153.676,22,,marine biome (ENVO:00000447)
0,-110,0,,
0.001,93.442,0,,
0.002,-24.993,0,,
0.003,71.643,0,,marine biome (ENVO:00000447)
0.022,-153.686,8,,marine biome (ENVO:00000447)
0.148,93.376,0,,
0.278,-91.647,0,,
0.317,93.3,0,,
0.498,57.276,0,,
0.595,-47.299,0,Brazil,Amazon
0.617,-47.336,0,Brazil,Amazon
0.931,57.297,1,,
0.997,-151.04,0,,
1,-110,0,,
1.004,57.297,0,,
1.098,92.504,0,,
1.266,103.833,0,,
1.268,103.917,3,,Marine Biome
1.279,-89.306,0,,
1.395,-91.821,0,,
1.673,92.211,1,,
1.993,-84.577,0,,marine biome (ENVO:00000447)
2,-151.39,0,,
2.004,57.333,0,,
2.008,57.33,0,,
2.014,92.086,0,,
2.03,-84.555,2,,marine biome (ENVO:00000447)
2.065,-84.555,144,,marine biome (ENVO:00000447)
2.201,92.02,3,,
2.381,-26.227,0,,
2.398,57.695,0,,
2.562,57.856,1,,
2.598,91.89,0,,
2.762,91.837,2,,
2.798,58.063,1,,
2.799,58.062,2,,
3.001,-151.74,0,,
3.184,58.418,0,,
3.203,91.656,0,,
3.431,91.715,0,,
3.594,58.792,0,,
3.659,58.788,0,,
3.715,105.408,0,,
3.718,91.407,0,,
3.808,-25.836,0,,
3.997,59.158,6,,
4,-110,0,,
4.065,91.206,3,,
4.285,91.047,0,,
4.35,59.487,0,,
4.389,59.524,1,,
4.518,90.867,0,,
4.654,90.763,0,,
4.722,-28.821,0,,
4.796,59.892,0,,
4.88,-51.36,0,Western Tropical North Atlantic Ocean,surface seawater
4.941,-110,3,,
5.024,90.474,0,,
5.056,60.13,0,,
5.197,60.259,0,,
5.202,60.262,3,,
5.331,90.243,1,,
5.394,90.194,0,,
5.5,-87.067,0,,
5.595,60.626,0,,
5.647,-86.58,0,,
5.725,-32.031,0,,
5.956,60.956,2,,
5.996,60.993,1,,
6,-109.997,0,,
6,73.896,0,,marine biome (ENVO:00000447)
6,73.907,38,,marine biome (ENVO:00000447)
6.119,89.628,0,,
6.205,89.564,0,,
6.333,-102.943,18,,marine biome (ENVO:00000447)
6.338,-102.954,19,,marine biome (ENVO:00000447)
