Longitude_Rounded,Latitude_Rounded,Hit_Count,Geographic_Location,,,,,,,,,,,,,,,
2.1686,41.3874,534,"Barcelona, Spain",,same,,ERS1443945,ERS1443946,ERS1443947,ERS1443948,,,,,,,,
76.2673,9.9312,10,"Cochin, India",,same,,ERS1443954,,,,,,,,,,,
-9.0513,53.274,5,"Galway, Ireland",,same,,ERS1443955,ERS1443956,ERS1443955,,,,,,,,,
51.3347,35.7219,3,"Tehran, Iran",,same,,ERS1443957,,,,,,,,,,,
-21.9408,64.147,2,"Reykjavik, Iceland",,same,,ERS1443958,,,,,,,,,,,
35.2137,31.7683,15,"Jerusalem, Israel",,same,,ERS1443959,ERS1443960,,,,,,,,,,
36.8219,-1.2921,10,"Nairobi, Kenya",,same,,ERS1443961,ERS1443962,,,,,,,,,,
28.8638,47.0105,9,"Chisinau, Moldova",,same,,ERS1443964,ERS1443965,,,,,,,,,,
21.4254,41.9981,2,"Skopje, Republic of Macedonia",,same,,ERS1443967,,,,,,,,,,,
14.4781,35.8889,4,"St. Venera, Malta",,same,,ERS1443968,ERS1443969,,,,,,,,,,
100.5071,5.7288,11,"Bedong, Malaysia",,same,,ERS1443970,ERS1443971,,,,,,,,,,
3.9398,7.3775,1,"Ibadan, Nigeria",,same,,ERS1443972,,,,,,,,,,,
5.2104,52.1365,2,"Bilthoven, The Netherlands",,same,,ERS1443974,,,,,,,,,,,
21.9693,51.4164,5,"Pulawy, Poland",,same,,ERS1443976,,,,,,,,,,,
103.8198,1.3521,2,"Singapore, Singapore",,same,,ERS1443977,,,,,,,,,,,
20.4612,44.8125,2,"Belgrade, Serbia",,same,,ERS1443978,,,,,,,,,,,
17.1077,48.1486,1,"Bratislava, Slovakia",,same,,ERS1443979,,,,,,,,,,,
11.9746,57.7089,7,"Gotheborg, Sweden",,same,,ERS1443981,,,,,,,,,,,
32.8597,39.9334,1,"Ankara, Turkey",,same,,ERS1443985,,,,,,,,,,,
-122.3328,47.6061,8,"Seattle,WA, USA",,same,,ERS1443986,,,,,,,,,,,
-87.6298,41.8781,156,"Chicago, IL, USA",,same,,ERS1443988,ERS1443989,ERS1443990,ERS1443991,ERS1443988,,ERS2597381,,,,,
-106.485,31.7619,60,"El Paso, TX, USA",,same,,ERS1443992,ERS1443993,ERS1443995,ERS1443997,ERS1443999,ERS1444000,ERS1444001,ERS1444002,ERS1444003,ERS1444004,ERS1444005,ERS1443996
28.0337,-26.2056,2,"Johannesburg, South Africa",,same,,ERS1444006,,,,,,,,,,,
16.3713,48.2081,6,"Vienna, Austria",,same,,ERS1443922,,,,,,,,,,,
27.1147,-22.5515,4,"Palapye, Botswana",,same,,ERS1443929,,,,,,,,,,,
2.1686,41.3874,94,"Barcelona, Spain",,same,,ERS1443947,,,,,,,,,,,
28.8638,47.0105,10,"Chisinau, Moldova",,same,,ERS1443964,,,,,,,,,,,
14.5058,46.0569,1,"Ljubljana, Slovenia",,same,,ERS1443980,,,,,,,,,,,
28.2773,-15.4155,3,"Lusaka, Zambia",,same,,ERS1444007,,,,,,,,,,,
28.2176,-12.8232,18,"Kitwe, Zambia",,same,,ERS1444009,ERS1444010,ERS1444011,,,,,,,,,
,,,,,,,,,,,,,,below are esitimated by location and part precise location,,,,
-60.9386,14.0761,10,Saint Lucia,,,,ERS2597471,,,,,,,,,,,
134.2294,-12.4637,20,Australia,,,,ERS2597462,,,,,,,,,,,
