mf,ppm,unsat
C22H9F7NOS2,-2.403,15.5
C27H8N4O3S2,2.4043,26.0
C11H17F6KN4O3P2S,2.4114,3.0
C34H3N3OP,-2.4133,35.5
C18H24KNO3PS4,-2.4181000000000004,7.5
C14H14F5KN4O4S2,-2.4205,7.0
C14H8F10N4OP2,-2.4271,9.0
C19H12F8NP2S,2.4289,11.5
C19H18F3KNO3S3,2.4356,9.5
C23H10F2O9S,-2.4413,18.0
C17H17F6KNOS3,-2.4536000000000002,6.5
C16H9F7N4O3P2,2.4619999999999997,12.0
C16H15F2KN4O6S2,2.4687,10.0
C27H7F6KO,2.4718,21.0
C9H16F9KN4OP2S,-2.4777,0.0
C25H7F3N4OS2,-2.4849,23.0
C24H10F4NO3S2,2.4862,18.5
C18H18FKO9S2,-2.4919,9.0
C18H12F6O6P2,-2.4985,11.0
C28H14KO3PS,2.5072,22.0
C10H17F4KN3O9P2,-2.516,2.5
C21H7F3N4O6S,2.5193000000000003,19.0
C10H23F3NO8P2S3,-2.5347,-0.5
C20H15F2KN4OS3,-2.5355000000000003,14.0
C6H13F8N4O9PS,-2.5370999999999997,-1.0
C13H11F11NO3P2,2.5439,4.5
C13H20F5KO6P2S,-2.5490999999999997,2.0
C13H17F6KNO6S2,2.5506,2.5
C33H6FO3P,2.5578,31.0
C10H20F4N2O8S4,2.565,0.0
C9H16F9NO6PS2,-2.5702,-1.5
C5H6F14N4O7,-2.5725,-2.0
C21H10F2N3O6P2,-2.5805000000000002,18.5
C10H14F5KN4O9S,2.5837,3.0
C12H13F11KO4P,-2.5846,1.0
C14H24KNO8PS3,2.5861,3.5
C18H9F7NO6S,2.6012000000000004,11.5
C24H13F3O3P2S,-2.6135,18.0
C22H13F3KO6P,2.6222,15.0
C13H23F5KN2PS4,2.6243999999999996,1.0
C16H18FKN3O6P2S,-2.631,9.5
C15H6F6N4O9,2.6343,12.0
C19H16FNO8PS2,2.6367000000000003,12.5
C23H6F9OP,-2.649,17.0
C16H24NO5P2S4,-2.6496999999999997,6.5
C12H14F5N4O6PS2,-2.6521,6.0
C19H21F2KO3P2S2,-2.6641,9.0
C15H11F7KN3O4P,-2.6664999999999996,8.5
C18H15F6N2PS3,2.675,10.0
C15H17F6NO3PS3,-2.6852,5.5
C11H7F11N4O4S,-2.6875999999999998,5.0
C18H9F7KN4OP,2.6936,13.0
C22H19F2KNP2S2,2.696,13.5
C18H14F8KOPS,-2.6995999999999998,8.0
C19H22N2O2P2S4,2.7104,11.0
C12H8F10NO9,2.7161999999999997,4.5
C14H10F12NOS2,-2.7205999999999997,4.5
C30H14P2S2,-2.7286,25.0
C19H16FKN4O3P2S,2.7291,14.0
C26H4F5N3OP,-2.7309,24.5
C6H9F15N4OP2,-2.7448,-2.0
C27H11F3NP2S,2.7466,22.5
C11H7F15N2OS,2.7545,2.0
C15H11F7O9S,-2.7590000000000003,7.0
C18H15F2N4O3PS3,-2.7671,13.0
C15H11F11KNOP,2.7756000000000003,5.5
C24H8F2N4O3P2,2.7796999999999996,23.0
C21H12F4KN3OPS,-2.7815,15.5
C35H6FKO,2.7894,32.0
C12H14F9N2O3PS2,2.79,3.0
C21H18F3NPS4,-2.8002,12.5
C17H8F8N4OS2,-2.8026,12.0
C10H19F6KO9S2,-2.8095,-2.0
C16H18F5KNO3P2S,2.811,6.5
C10H13F11O6P2,-2.8162,0.0
C13H23FKN4O3PS4,-2.8177000000000003,4.0
C13H21F3N2O5P2S3,2.8254,4.0
C18H9F3N3O9S,-2.8409,14.5
C13H15F4KN4O6P2,2.8441,7.0
C12H16F7KN4OS3,-2.8531,3.0
C21H10F6NO3P2,2.8615999999999997,15.5
C21H16FKNO6S2,2.8683,13.5
C21H12F4O6S2,-2.874,14.0
C13H17F2KN3O9S2,-2.8914,5.5
